brand,category,count,pct_of_brand_reviews,brand_review_total,small_base_flag
Acuvue,quality/defect (other),105,41.2,255,False
Acuvue,product mismatch/counterfeit concern,58,22.7,255,False
Acuvue,shipping/fulfillment,25,9.8,255,False
Acuvue,customer service,21,8.2,255,False
Acuvue,packaging,14,5.5,255,False
Acuvue,comfort/dryness,13,5.1,255,False
Acuvue,unclear / insufficient detail,9,3.5,255,False
Acuvue,price,7,2.7,255,False
Acuvue,no complaint / positive feedback,3,1.2,255,False
Alcon,quality/defect (other),23,33.3,69,False
Alcon,product mismatch/counterfeit concern,20,29.0,69,False
Alcon,packaging,8,11.6,69,False
Alcon,comfort/dryness,6,8.7,69,False
Alcon,shipping/fulfillment,5,7.2,69,False
Alcon,customer service,5,7.2,69,False
Alcon,no complaint / positive feedback,1,1.4,69,False
Alcon,unclear / insufficient detail,1,1.4,69,False
Bausch & Lomb,quality/defect (other),60,26.3,228,False
Bausch & Lomb,product mismatch/counterfeit concern,49,21.5,228,False
Bausch & Lomb,packaging,33,14.5,228,False
Bausch & Lomb,comfort/dryness,29,12.7,228,False
Bausch & Lomb,shipping/fulfillment,21,9.2,228,False
Bausch & Lomb,customer service,14,6.1,228,False
Bausch & Lomb,price,13,5.7,228,False
Bausch & Lomb,unclear / insufficient detail,7,3.1,228,False
Bausch & Lomb,no complaint / positive feedback,2,0.9,228,False
CooperVision,quality/defect (other),11,35.5,31,False
CooperVision,packaging,7,22.6,31,False
CooperVision,product mismatch/counterfeit concern,4,12.9,31,False
CooperVision,shipping/fulfillment,3,9.7,31,False
CooperVision,unclear / insufficient detail,3,9.7,31,False
CooperVision,comfort/dryness,2,6.5,31,False
CooperVision,customer service,1,3.2,31,False
Olens,quality/defect (other),12,41.4,29,False
Olens,comfort/dryness,6,20.7,29,False
Olens,product mismatch/counterfeit concern,6,20.7,29,False
Olens,packaging,3,10.3,29,False
Olens,shipping/fulfillment,1,3.4,29,False
Olens,unclear / insufficient detail,1,3.4,29,False
